localName,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
ns010,dubimum,ns,dubimum,"A name of uncertain sense, of doubtful validity. E.g. the name Encephalartos tridentatus (Willdenow) Lehmann (Pugillus 6, 1834) is a nomen dubium which  may refer to several species of Encephalartos or Macrozamia. ICZN: doubtful  or dubious names, names which are not certainly applicable to any known  taxon or for which the evidence is insufficient to permit recognition of the  taxon to which they belong. May possess availability conducive to  uncertainty and instability. Also nullnames under enquirynull: NOMEN  INQUIRENDUM (NOMINA INQUIRENDA).",,,,http://www.w3.org/2004/02/skos/core#Concept
ns011,illegitimum,ns,illegitimum,nomen illegitimum: illegitimate name,,,,http://www.w3.org/2004/02/skos/core#Concept
ns012,invalidum,ns,invalidum,invalid name,,,,http://www.w3.org/2004/02/skos/core#Concept
ns013,legitimate,ns,legitimate,,,,,http://www.w3.org/2004/02/skos/core#Concept
ns014,negatum,ns,negatum,"denied names, unavailable names which are incorrect original spellings as  defined by the Code. Subset of nom.inval. based only on spellings",,,,http://www.w3.org/2004/02/skos/core#Concept
ns015,novum,ns,novum,"A scientific name that is created specifically to replace a name which is a  junior synonym or homonym. New name designated when a name cannot be used  for nomenclaturalpurposes and no type or original material exists. A name established expressly to replace an already established name. A nominal  taxon denoted by a new replacement name (nomen novum) has the same  name-bearing type as the nominal taxon denoted by the replaced name. ICZN:  new name which is expressly proposed as a replacement name for a preoccupied  name , automatically takes the same type and type locality. (= a replacement  name or substitute name for a preoccupied name). Commonly applied to names  proposed to replace junior homonyms. A name proposed as a substitute for a  previously published name (ICBN Art. 7.3 and 33.4).",,,,http://www.w3.org/2004/02/skos/core#Concept
ns016,nudum,ns,nudum,"name without a description, i.e. a name not (or not yet) published with an  adequate description.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns017,nullum,ns,nullum,"null names, unavailable names which as defined by the Code are non demonstrably intentional changes of an original spelling i.e. a form of  incorrect subsequent spelling",,,,http://www.w3.org/2004/02/skos/core#Concept
ns018,oblitum,ns,oblitum,"a name that has not been used in the scientific community for more than  fifty years after its original proposal. forgotten names, senior synonyms which have remained unused in the literature for many years. Have been  treated differently by different editions of the Code, and remain  unavailable names.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns019,oppressa,ns,oppressa,suppressed publication in respective code,,,,http://www.w3.org/2004/02/skos/core#Concept
ns020,orthographia,ns,orthographia,A spelling variation of a full combination (name and authorship) that may or  may not be a misspelling.,,,,http://www.w3.org/2004/02/skos/core#Concept
ns021,protectum,ns,protectum,protected name applied to a name which has been given precedence over it  unused senior synonym or senior homonym relegated to the status of nomen oblitum (see Article 23.9.2).,,,,http://www.w3.org/2004/02/skos/core#Concept
ns022,provisorium,ns,provisorium,"Provisional name, a name proposed in anticipation of the future acceptance of the taxon concerned, or of a particular circumscription, position, or  rank of the taxon (ICBN Art. 34.1).",,,,http://www.w3.org/2004/02/skos/core#Concept
ns023,rejiciendum,ns,rejiciendum,Rejected in favour of. Inverse of conserved against,,,,http://www.w3.org/2004/02/skos/core#Concept
ns024,rejiciendumProp,ns,rejiciendumProp,proposed rejected name. Temporary status until the next botanical congress decides about the proposal.,,,,http://www.w3.org/2004/02/skos/core#Concept
ns025,rejiciendumUtique,ns,rejiciendumUtique,"Name rejected outright, i. e. without proposing another name to be conserved in favor of this name (nomen utique rejiciendum). This status applies to explicitly listed protonym names as well as to any combinations based on the protonym. See ICBN (Art. 56.1, Appendix V) because otherwise it would cause a disadvantageous nomenclatural change.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns026,rejiciendumUtiqueProp,ns,rejiciendumUtiqueProp,proposed rejected name on the basis of appendix V of ICBN,,,,http://www.w3.org/2004/02/skos/core#Concept
ns027,subnudum,ns,subnudum,,,,,http://www.w3.org/2004/02/skos/core#Concept
ns028,superfluum,ns,superfluum,"name superfluous when published, an unnecessary substitute name",,,,http://www.w3.org/2004/02/skos/core#Concept
ns029,valid,ns,valid,The name is correctly published according to the rules of nomenclature of  the ICBN,,,,http://www.w3.org/2004/02/skos/core#Concept
