ID,taxonNameID,accordingToID,taxonConceptLabel,taxonRank,parentID,parent
_:tc16,zoobank:fc4e3aca-4e59-4fae-a052-f220b4a5c70b,urn:isbn:978-1-4214-0093-8,Giraffa tippelskirchi sec. Groves & Grubb 2011,species,,_:tc32
_:tc17,_:tn21,urn:isbn:978-1-4214-0093-8,Giraffa thornicrofti sec. Groves & Grubb 2011,species,,_:tc32
_:tc18,_:tn22,urn:isbn:978-1-4214-0093-8,Giraffa giraffa sec. Groves & Grubb 2011,species,,_:tc32
_:tc19,_:tn25,urn:isbn:978-1-4214-0093-8,Giraffa angolensis sec. Groves & Grubb 2011,species,,_:tc32
_:tc33,zoobank:29a6803b-c1d8-4460-96c7-cc006095413f,_:ref0,Giraffa sec. IUCN 2025,genus,,
_:tc20,_:tn1,_:ref0,Giraffa camelopardalis sec. IUCN 2025,species,,_:tc33
_:tc21,zoobank:a1d014fd-cdbf-4eaf-a979-100186fc2f41,_:ref0,Giraffa camelopardalis peralta sec. IUCN 2025,subspecies,,_:tc20
_:tc22,_:tn3,_:ref0,Giraffa camelopardalis antiquorum sec. IUCN 2025,subspecies,,_:tc20
_:tc23,_:tn2,_:ref0,Giraffa camelopardalis camelopardalis sec. IUCN 2025,subspecies,,_:tc20
_:tc24,_:tn0,_:ref0,Giraffa reticulata sec. IUCN 2025,species,,_:tc33
_:tc25,zoobank:fc4e3aca-4e59-4fae-a052-f220b4a5c70b,_:ref0,Giraffa tippelskirchi sec. IUCN 2025,species,,_:tc33
_:tc26,_:tn26,_:ref0,Giraffa tippelskirchi tippelskirchi sec. IUCN 2025,subspecies,,_:tc25
_:tc27,_:tn28,_:ref0,Giraffa tippelskirchi thornicrofti sec. IUCN 2025,subspecies,,_:tc25
_:tc28,_:tn22,_:ref0,Giraffa giraffa sec. IUCN 2025,species,,_:tc33
_:tc29,_:tn27,_:ref0,Giraffa giraffa giraffa sec. IUCN 2025,subspecies,,_:tc28
_:tc30,_:tn29,_:ref0,Giraffa giraffa angolensis sec. IUCN 2025,subspecies,,_:tc28
